,0,1,2,3,4,5,6,7,8,9,10
1,Write-In cells: 185,,,,,,,,,,
2,Overvote cells: 291,,,,,,,,,,
3,Rita C. Joseph: 0,,,,,,,,,,
4,Kenya Handy-Hilliard: 1,,,,,,,,,,
5,Cecilia Cortez: 2,,,,,,,,,,
6,Victor Jordan: 3,,,,,,,,,,
7,Edwin K. Raymond: 4,,,,,,,,,,
8,Josue Pierre: 5,,,,,,,,,,
9,Maxi Eugene: 6,,,,,,,,,,
10,Vivia M. Morgan: 7,,,,,,,,,,
11,John Williams: 8,,,,,,,,,,
12,Harriet L. Hines: 9,,,,,,,,,,
13,Blake Morris: 10,,,,,,,,,,
5835,6,3.0,2.0,0.0,4.0,,,,,,
5836,6,3.0,2.0,0.0,4.0,,,,,,
5837,0,,,,,,,,,,
5838,0,,,,,,,,,,
5839,0,1.0,5.0,10.0,,,,,,,
5840,0,2.0,6.0,1.0,,,,,,,
5841,1,9.0,5.0,0.0,7.0,,,,,,
5842,0,,,,,,,,,,
5843,9,0.0,10.0,2.0,,,,,,,
5844,9,0.0,,,,,,,,,
5845,4,,,,,,,,,,
5846,4,,,,,,,,,,
6002,5,1.0,0.0,,,,,,,,
6003,1,0.0,5.0,,,,,,,,
6004,1,,,,,,,,,,
6006,0,9.0,1.0,4.0,10.0,,,,,,
6007,4,6.0,2.0,9.0,,,,,,,
6008,5,,,,,,,,,,
6009,5,0.0,9.0,6.0,3.0,,,,,,
6010,5,2.0,,,,,,,,,
6011,1,,,,,,,,,,
6012,1,,,,,,,,,,
6013,7,2.0,9.0,0.0,5.0,,,,,,
6014,5,2.0,0.0,,,,,,,,
6015,0,8.0,,,,,,,,,
6016,4,0.0,10.0,1.0,,,,,,,
6017,1,5.0,0.0,,,,,,,,
6018,0,6.0,7.0,2.0,1.0,,,,,,
6019,1,5.0,4.0,10.0,6.0,,,,,,
6020,4,1.0,,,,,,,,,
6021,1,,,,,,,,,,
6022,4,1.0,0.0,,,,,,,,
6023,5,,,,,,,,,,
6025,1,,,,,,,,,,
6026,2,8.0,0.0,1.0,10.0,,,,,,
6066,2,,,,,,,,,,
6067,5,9.0,8.0,10.0,6.0,,,,,,
6068,5,1.0,0.0,2.0,6.0,,,,,,
6069,4,0.0,6.0,10.0,7.0,,,,,,
6070,10,7.0,2.0,5.0,6.0,,,,,,
6071,0,7.0,4.0,3.0,9.0,,,,,,
6072,1,,,,,,,,,,
6074,0,7.0,6.0,,,,,,,,
6075,8,1.0,7.0,,,,,,,,
6076,0,1.0,5.0,2.0,4.0,,,,,,
