,0,1,2,3,4,5,6
1,Write-In cells: 251,,,,,,
2,Overvote cells: 188,,,,,,
3,Linda Lee: 0,,,,,,
4,Steve Behar: 1,,,,,,
5,Debra Markell: 2,,,,,,
6,Sanjeev Kumar Jindal: 3,,,,,,
7,Harpreet S. Toor: 4,,,,,,
8,Jaslin Kaur: 5,,,,,,
9,Koshy O. Thomas: 6,,,,,,
9639,3,,,,,,
9641,3,,,,,,
9645,3,4.0,,,,,
9648,5,2.0,,,,,
9650,2,5.0,1.0,0.0,6.0,,
9652,3,5.0,6.0,4.0,0.0,,
9654,1,6.0,,,,,
9656,0,5.0,2.0,3.0,4.0,,
9660,2,0.0,1.0,,,,
9665,0,,,,,,
9668,1,0.0,2.0,,,,
9670,2,1.0,0.0,,,,
9672,5,,,,,,
9674,2,1.0,0.0,,,,
9676,3,5.0,0.0,2.0,4.0,,
9680,2,0.0,,,,,
9682,0,,,,,,
9684,1,,,,,,
9685,4,,,,,,
9689,5,4.0,3.0,0.0,2.0,,
9691,1,2.0,0.0,,,,
9693,3,,,,,,
9695,3,5.0,4.0,6.0,0.0,,
9697,2,0.0,3.0,,,,
9699,0,2.0,6.0,,,,
9701,2,0.0,1.0,6.0,5.0,,
9704,1,,,,,,
9707,0,1.0,5.0,2.0,6.0,,
9709,2,5.0,0.0,,,,
9711,4,,,,,,
9713,1,,,,,,
9714,1,5.0,6.0,4.0,2.0,,
9717,5,0.0,,,,,
9718,1,5.0,2.0,0.0,4.0,,
9720,1,2.0,0.0,,,,
9722,5,0.0,,,,,
9726,5,0.0,,,,,
9728,1,2.0,0.0,5.0,4.0,,
9729,5,0.0,2.0,4.0,6.0,,
9732,5,2.0,0.0,3.0,1.0,,
9734,5,2.0,,,,,
9736,2,1.0,6.0,5.0,,,
9737,5,0.0,2.0,,,,
9739,2,0.0,1.0,6.0,5.0,,
9740,1,4.0,2.0,,,,
9743,2,0.0,1.0,,,,
9744,5,2.0,,,,,
9747,0,2.0,6.0,3.0,5.0,,
9749,0,,,,,,
9751,5,2.0,0.0,1.0,6.0,,
9754,0,1.0,4.0,2.0,3.0,,
9755,5,3.0,4.0,0.0,2.0,,
9757,0,2.0,3.0,5.0,6.0,,
9761,0,1.0,2.0,5.0,6.0,,
9766,0,2.0,,,,,
9768,1,,,,,,
9775,1,0.0,2.0,5.0,,,
9777,2,0.0,5.0,,,,
9779,0,2.0,5.0,1.0,,,
9782,0,2.0,5.0,1.0,,,
9783,2,0.0,3.0,1.0,6.0,,
9786,1,,,,,,
9788,0,,,,,,
9790,1,4.0,2.0,,,,
9791,3,2.0,1.0,0.0,,,
9794,1,0.0,2.0,5.0,,,
9795,0,6.0,2.0,,,,
9798,6,2.0,0.0,1.0,4.0,,
9799,0,2.0,1.0,6.0,,,
9801,1,0.0,2.0,5.0,6.0,,
9803,2,1.0,6.0,4.0,,,
9805,2,1.0,5.0,4.0,0.0,,
9807,0,,,,,,
9809,2,1.0,0.0,3.0,,,
9811,1,2.0,,,,,
9812,3,5.0,6.0,1.0,4.0,,
9814,3,5.0,6.0,1.0,0.0,,
9816,0,5.0,6.0,3.0,2.0,,
9820,0,3.0,,,,,
9822,3,6.0,5.0,4.0,2.0,,
9824,5,,,,,,
9826,5,,,,,,
9828,3,0.0,5.0,2.0,6.0,,
9830,3,2.0,0.0,5.0,1.0,,
9832,3,5.0,1.0,0.0,2.0,,
9834,3,,,,,,
9836,3,5.0,6.0,1.0,4.0,,
9838,3,5.0,6.0,1.0,4.0,,
9840,2,0.0,1.0,,,,
9842,5,3.0,6.0,4.0,0.0,,
9844,2,1.0,0.0,5.0,6.0,,
9846,3,,,,,,
9848,5,3.0,6.0,4.0,0.0,,
9850,2,1.0,0.0,5.0,6.0,,
9852,2,1.0,,,,,
9854,2,1.0,6.0,4.0,0.0,,
9856,5,,,,,,
9858,0,3.0,,,,,
9861,1,,,,,,
9863,1,2.0,0.0,5.0,3.0,,
9864,1,2.0,,,,,
9866,3,,,,,,
9868,3,,,,,,
9870,3,,,,,,
9873,3,,,,,,
9874,3,5.0,,,,,
9877,3,5.0,,,,,
9878,3,5.0,,,,,
9881,3,5.0,,,,,
9882,6,5.0,4.0,,,,
9884,3,6.0,5.0,4.0,0.0,,
9887,5,0.0,,,,,
9889,5,0.0,1.0,,,,
9891,0,3.0,,,,,
9893,0,3.0,,,,,
9895,5,0.0,1.0,,,,
9896,5,0.0,1.0,,,,
9897,5,0.0,4.0,1.0,2.0,,
9898,5,0.0,1.0,,,,
9921,0,,,,,,
9923,0,,,,,,
9925,5,3.0,6.0,2.0,4.0,,
9927,3,5.0,1.0,4.0,,,
9929,0,2.0,1.0,4.0,,,
10879,0,2.0,5.0,6.0,4.0,,
10881,2,1.0,5.0,,,,
10885,0,,,,,,
10887,4,,,,,,
10889,3,4.0,2.0,5.0,,,
10891,0,2.0,3.0,5.0,6.0,,
10893,5,2.0,,,,,
10895,0,2.0,1.0,,,,
10896,0,2.0,,,,,
10899,0,2.0,,,,,
