,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,Write-In cells: 137,,,,,,,,,,,,,,
2,Overvote cells: 256,,,,,,,,,,,,,,
3,Steven B. Raga: 0,,,,,,,,,,,,,,
4,Ebony R. Young: 1,,,,,,,,,,,,,,
5,Julie Won: 2,,,,,,,,,,,,,,
6,Denise M. Keehan-Smith: 3,,,,,,,,,,,,,,
7,Badrun Khan: 4,,,,,,,,,,,,,,
8,Glennis E. Gomez: 5,,,,,,,,,,,,,,
9,Brent O'Leary: 6,,,,,,,,,,,,,,
10,Emily E. Sharpe: 7,,,,,,,,,,,,,,
11,Julia L. Forman: 8,,,,,,,,,,,,,,
12,Amit S. Bagga: 9,,,,,,,,,,,,,,
13,Sultan Al Maruf: 10,,,,,,,,,,,,,,
14,Hailie Kim: 11,,,,,,,,,,,,,,
15,Jesse Laymon: 12,,,,,,,,,,,,,,
16,Jonathan Bailey: 13,,,,,,,,,,,,,,
17,Lorenzo Brea: 14,,,,,,,,,,,,,,
28784,9,12.0,13.0,7.0,,,,,,,,,,,
28786,9,2.0,13.0,7.0,8.0,,,,,,,,,,
28788,2,6.0,9.0,8.0,12.0,,,,,,,,,,
28789,9,2.0,13.0,7.0,8.0,,,,,,,,,,
28863,1,,,,,,,,,,,,,,
28864,9,6.0,0.0,4.0,5.0,,,,,,,,,,
28867,0,6.0,4.0,2.0,3.0,,,,,,,,,,
28868,6,2.0,,,,,,,,,,,,,
28870,6,3.0,5.0,,,,,,,,,,,,
28872,6,8.0,9.0,2.0,1.0,,,,,,,,,,
28874,3,5.0,14.0,8.0,7.0,,,,,,,,,,
28876,4,12.0,3.0,8.0,6.0,,,,,,,,,,
28878,7,13.0,6.0,11.0,0.0,,,,,,,,,,
28880,3,0.0,6.0,,,,,,,,,,,,
28882,2,7.0,1.0,13.0,8.0,,,,,,,,,,
28884,3,6.0,,,,,,,,,,,,,
28886,3,8.0,2.0,9.0,5.0,,,,,,,,,,
28888,3,8.0,2.0,9.0,5.0,,,,,,,,,,
28890,6,,,,,,,,,,,,,,
28891,2,1.0,11.0,3.0,,,,,,,,,,,
28893,11,13.0,9.0,4.0,8.0,,,,,,,,,,
28895,9,2.0,12.0,6.0,,,,,,,,,,,
28897,3,8.0,2.0,9.0,5.0,,,,,,,,,,
28901,9,8.0,12.0,2.0,,,,,,,,,,,
28903,6,8.0,3.0,,,,,,,,,,,,
28907,0,,,,,,,,,,,,,,
28910,7,,,,,,,,,,,,,,
28912,1,4.0,11.0,2.0,5.0,,,,,,,,,,
28915,2,3.0,,,,,,,,,,,,,
29033,2,9.0,6.0,0.0,,,,,,,,,,,
29034,11,8.0,2.0,9.0,12.0,,,,,,,,,,
29036,9,13.0,2.0,14.0,11.0,,,,,,,,,,
29038,3,2.0,,,,,,,,,,,,,
29040,11,8.0,4.0,,,,,,,,,,,,
29042,6,11.0,0.0,2.0,7.0,,,,,,,,,,
29045,8,7.0,3.0,14.0,6.0,,,,,,,,,,
29047,9,2.0,12.0,4.0,5.0,,,,,,,,,,
29048,11,8.0,,,,,,,,,,,,,
29050,11,2.0,6.0,9.0,10.0,,,,,,,,,,
29051,3,2.0,,,,,,,,,,,,,
29055,11,1.0,13.0,6.0,12.0,,,,,,,,,,
29056,1,,,,,,,,,,,,,,
29059,2,9.0,,,,,,,,,,,,,
29060,11,1.0,2.0,9.0,4.0,,,,,,,,,,
29063,8,11.0,3.0,6.0,1.0,,,,,,,,,,
29064,9,12.0,,,,,,,,,,,,,
29069,12,9.0,5.0,11.0,,,,,,,,,,,
29070,9,2.0,7.0,8.0,6.0,,,,,,,,,,
29071,2,7.0,9.0,4.0,12.0,,,,,,,,,,
30201,6,7.0,8.0,3.0,1.0,,,,,,,,,,
30203,2,10.0,11.0,,,,,,,,,,,,
30205,6,1.0,11.0,7.0,8.0,,,,,,,,,,
30206,9,,,,,,,,,,,,,,
30208,9,12.0,8.0,2.0,11.0,,,,,,,,,,
30211,11,5.0,9.0,13.0,14.0,,,,,,,,,,
30212,6,8.0,14.0,13.0,,,,,,,,,,,
30216,1,11.0,5.0,8.0,3.0,,,,,,,,,,
30217,8,7.0,3.0,6.0,13.0,,,,,,,,,,
30219,1,5.0,2.0,7.0,0.0,,,,,,,,,,
30221,6,2.0,,,,,,,,,,,,,
