,0,1,2,3,4,5,6,7,8,9,10,11
1,Write-In cells: 254,,,,,,,,,,,
2,Overvote cells: 231,,,,,,,,,,,
3,Luis Tejada: 0,,,,,,,,,,,
4,Carmen R. Quinones: 1,,,,,,,,,,,
5,Stacy R. Lynch: 2,,,,,,,,,,,
6,Keith L. Harris: 3,,,,,,,,,,,
7,Maria Ordonez: 4,,,,,,,,,,,
8,Daniel M. Cohen: 5,,,,,,,,,,,
9,Raymond Sanchez Jr.: 6,,,,,,,,,,,
10,Miguel Estrella: 7,,,,,,,,,,,
11,Corey Ortega: 8,,,,,,,,,,,
12,Shaun Abreu: 9,,,,,,,,,,,
13,Lena Melendez: 10,,,,,,,,,,,
14,Marti Gould  Allen-Cummings: 11,,,,,,,,,,,
16987,5,9.0,11.0,3.0,4.0,,,,,,,
16988,9,,,,,,,,,,,
16989,9,,,,,,,,,,,
16990,1,6.0,,,,,,,,,,
16991,5,11.0,9.0,4.0,0.0,,,,,,,
16992,5,11.0,9.0,4.0,0.0,,,,,,,
16994,4,,,,,,,,,,,
16995,5,9.0,2.0,4.0,,,,,,,,
16998,9,4.0,5.0,3.0,2.0,,,,,,,
16999,9,4.0,5.0,3.0,2.0,,,,,,,
17000,9,,,,,,,,,,,
17002,5,6.0,8.0,2.0,9.0,,,,,,,
17004,5,9.0,11.0,3.0,8.0,,,,,,,
17005,4,5.0,,,,,,,,,,
17007,0,11.0,8.0,7.0,10.0,,,,,,,
17096,9,5.0,4.0,0.0,,,,,,,,
17097,5,,,,,,,,,,,
17098,0,,,,,,,,,,,
17099,0,,,,,,,,,,,
17100,0,,,,,,,,,,,
17101,0,1.0,,,,,,,,,,
17102,9,6.0,1.0,7.0,0.0,,,,,,,
17103,4,,,,,,,,,,,
17104,9,6.0,,,,,,,,,,
17105,9,6.0,1.0,8.0,5.0,,,,,,,
17107,9,1.0,3.0,2.0,5.0,,,,,,,
17109,6,1.0,,,,,,,,,,
17110,6,1.0,,,,,,,,,,
17111,0,5.0,,,,,,,,,,
17112,5,,,,,,,,,,,
17113,5,,,,,,,,,,,
17142,0,,,,,,,,,,,
17475,4,11.0,2.0,8.0,5.0,,,,,,,
17476,4,9.0,10.0,5.0,8.0,,,,,,,
17477,9,5.0,11.0,2.0,,,,,,,,
17478,0,,,,,,,,,,,
17479,11,9.0,,,,,,,,,,
17480,8,3.0,11.0,9.0,,,,,,,,
17481,11,4.0,9.0,,,,,,,,,
17482,9,11.0,4.0,,,,,,,,,
17483,1,2.0,4.0,10.0,6.0,,,,,,,
17484,4,1.0,8.0,0.0,10.0,,,,,,,
17485,2,3.0,10.0,11.0,1.0,,,,,,,
17486,9,,,,,,,,,,,
17487,9,0.0,2.0,6.0,11.0,,,,,,,
17488,2,3.0,9.0,10.0,11.0,,,,,,,
17489,9,11.0,2.0,5.0,0.0,,,,,,,
17490,9,11.0,2.0,5.0,0.0,,,,,,,
17492,3,2.0,11.0,6.0,5.0,,,,,,,
17493,4,2.0,1.0,8.0,0.0,,,,,,,
17494,11,2.0,4.0,8.0,5.0,,,,,,,
17495,4,11.0,6.0,,,,,,,,,
17496,2,8.0,3.0,,,,,,,,,
17497,9,6.0,4.0,0.0,11.0,,,,,,,
17498,9,8.0,11.0,,,,,,,,,
17499,11,9.0,,,,,,,,,,
17500,4,10.0,8.0,9.0,6.0,,,,,,,
17501,9,8.0,3.0,2.0,0.0,,,,,,,
17502,11,9.0,3.0,2.0,5.0,,,,,,,
17503,3,,,,,,,,,,,
17504,9,,,,,,,,,,,
17505,9,2.0,6.0,11.0,0.0,,,,,,,
17506,11,,,,,,,,,,,
17507,5,11.0,9.0,,,,,,,,,
